,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,x,y,ClusterID
cell1,3.339016434254288,5.382382818346217,5.026818387222517,5.132764456538711,6.171271399739901,2.493405720314444,1.7617495674011732,4.803739718462063,1.7803160134677554,4.665482165939571,5.346533009216963,5.288837653049445,4.464256686395704,4.227781419862128,1.5253106068633864,4.312448961662188,2.650205020076989,4.92124521011633,4.446183374024506,2.5770802592856703,4.00744149767213,5.049873275536184,3.7823232646964895,2.7477480404047987,4.410613628124222,4.646354966282952,5.51892221388536,2.957913153497393,4.433997963158358,3.39486842881544,3.972439636873892,3.1984030795231777,6.196676145035038,3.5278319317188336,3.292361889925087,3.649647316462696,3.6619619346075223,6.1547681057221695,1.5010452706800967,3.34989237705098,2.96687468260092,2.7826687282352744,3.08915234978212,3.2061215604059066,4.19139084209408,4.2164272275504695,5.69984227754749,3.364514892972793,4.132193815815897,4.044240201217597,3.534298749567092,5.061659647341761,3.870438117506322,5.873146949232701,4.796225920470415,2.502512325185576,5.0257849329935205,3.7382455952549383,4.063060514416449,1.617287614400717,5.326005378464028,5.430265365431547,5.165836638732013,3.4470184656373064,4.575927240357516,3.041306816378965,4.581559204206604,3.411723331211186,1.265818074790732,4.161032288845796,4.668848139371902,4.756599249851942,2.2112045205586344,2.8232554218083146,5.552052776950469,2.9809484745925863,4.679889737026419,5.9508092723174775,3.6258027795207295,3.0448884125614915,1.8360085837007043,4.602096083356427,3.3448445566562675,2.9131462340678405,2.1277615765402484,3.0912746834627707,2.4277870207753978,4.716442580601849,5.400305204863988,3.9605627236479735,4.922006665434642,4.1152302942614245,2.6393536211126998,6.831927153613996,2.8365963143413166,0.7384445120736156,3.3509198332787147,4.614828491945168,2.716016662539345,5.343382159497272,4.036016550320994,3.193084817674648,3.135981199565326,2.3649652028213435,1.9853401950966765,3.7529383663913753,1.3790861411373403,2.7154152076764477,2.266044732783051,2.4812063772983937,41,66,0
cell2,2.6173226288674627,5.333351521981304,5.177466261874059,5.038690083038243,6.090427487952321,2.3903303423742024,2.1036883702304987,5.072877270859337,2.111273438922123,4.77574647776679,5.34680129462119,5.454164736705423,4.761802531672097,4.192649452731844,1.9691951087606363,4.141443576852925,2.318339031574719,5.198481884870844,4.265017818306838,2.107719227110928,2.4954742424179237,5.1813984200855066,4.05395515614784,2.9664949456461374,3.71262789532946,4.895751277655791,5.566837264620374,3.1752567079610508,4.267120908588498,3.6468759120068586,4.065642911064121,2.8577454152756467,6.142612795012278,3.5251842924617844,3.3839765060176634,3.4373002600888114,3.762096741998621,6.107804838695426,1.4185985816366804,2.9920452059973286,2.8372494055896627,2.779019605583432,3.029775376544832,3.0272985890403445,4.22688678982789,4.405219547128408,5.530906587641548,3.210198413922045,4.516852073669953,3.893370365951124,3.4245183802215933,4.833294314369877,3.77421069455296,6.011604952771426,4.89249401801152,2.52831456740846,5.167981045802578,3.729944247074177,4.102391916303596,1.862147136124321,5.084389568190149,5.628068314589973,5.050901574838745,3.2898961616277704,4.567947796501737,2.604634985820983,4.671656870255108,3.602440748594408,2.20098752892752,4.311741705063794,5.137315487423126,5.057781156652537,1.7181893760812037,2.530586136923093,5.664997486803633,2.7809660156118943,4.457002115626971,6.175060926001144,3.581348032717448,2.4452675623892364,2.0450787038507423,4.5543044432380935,3.5071323458905272,2.6157970656759297,2.737827140033906,2.851082986901473,2.132115263693338,4.793788484575506,5.833668800079391,4.129304099475748,4.864798625858959,3.508979211568122,2.333693533598833,6.38246221640502,2.667636395763345,0.777032872579304,3.243040330188045,4.671094214375488,2.9356315642964708,5.301109348629913,3.979924034310341,2.989958048002401,3.4981407926293047,2.4579841474871653,1.9472884276585527,3.712716004370894,1.653579667600498,2.8635894021924027,2.08800744983331,2.601222419782781,42,66,0
cell3,3.088699509483361,5.491983475242381,4.491136999652434,5.220172053487644,6.570257740787024,2.403839836937442,2.7168915114380328,4.433779191683556,1.8981303084685817,4.440633810073435,5.3688082568948605,4.807508030587974,4.587305497230211,4.380234958612946,1.6475247579847636,4.236212921499432,2.600491960878907,4.647475055309554,4.438248783108999,1.8303507843404296,4.260350733340577,5.510720133366559,3.838957797060517,3.280843319083006,4.270665666072007,4.161266393249861,5.447655677048816,2.6623933569566263,4.663029709052801,2.8572612949595544,4.578815655423441,2.602645538098422,6.497042852371072,3.766312149229477,3.339130502842598,3.457894324475866,3.5926949715370493,6.234159504668436,1.6933941608398762,3.140010146240209,3.209716557128514,3.310581183870818,2.969238196406147,2.9969886631965545,4.761144642068735,4.6926846417773165,5.3372467026123465,3.429425348740387,4.181291612411095,3.8928486637575497,3.5266456485758693,5.208594168346896,3.7849208360729913,5.497910635748752,4.32448426582993,2.4587851496512823,5.295576883721767,3.438917530141239,4.293911295863098,1.9395789832099288,5.1555816645393895,5.119468526892763,5.200729437414449,3.520057691089244,4.635689480639057,2.565556915116683,4.692480287807632,3.600467746439162,1.1360081243030709,4.167517532175535,5.229419279183024,4.691368738760775,2.163832195951938,2.69253453731864,4.750900511999765,2.8422718805215506,4.867367427477314,5.335655131331173,4.142400505687139,3.451055560115958,1.876820008805124,4.5273962299062696,2.8185836949718364,2.936975694957165,2.661649531554858,3.4167861323187405,2.3887837223507304,4.766343402597393,6.172196665283972,3.8144474217117423,5.013244882846353,3.770499887281984,3.043304421847552,6.480023076039498,2.807525852123708,0.7414671660111377,3.482255689034593,4.434405019518768,3.024505991117606,5.427728536288918,3.8719610480865296,2.7822805988009565,3.739526568857105,1.9563254126845204,1.4592130322102537,3.812238270888578,1.2666227269883712,2.2622932318807774,2.187428276676249,1.982329187839208,43,66,0
cell4,3.153993546477178,5.378721999489441,4.744000526360738,5.122850693952442,6.471762289595829,2.4135901286221264,2.382723016772731,4.425406552658492,1.5884393545075584,4.719534163243469,5.316950225043417,5.07132477112782,4.698887823770033,4.311672219596045,1.4958642049151978,4.454982863032986,1.8281053654328108,4.967189429782903,4.477381310054922,1.803165365740496,4.013226488876915,5.270966006299931,3.906348333380381,3.245809329402892,4.068505428971577,4.602973845032346,5.492633850519724,2.7398363630054856,4.653500159502696,3.149026966843883,4.5653394566339855,2.8147372987842134,6.244495032135974,3.7261969881010297,3.442089193777596,3.517473507674041,3.7894584758553695,5.9970159404247045,1.2273072623262251,3.4611080344534444,3.230503835859849,3.2166105415717814,2.971058877234034,3.187388879763016,4.702470558681001,4.708655090952512,5.536498996416917,3.4771571067641247,4.2143302096914,3.8621041660519966,3.46827790094085,5.047880073402769,4.003860674486617,5.831251188705877,4.556080940844638,2.592505210150908,5.151316172487884,3.5067534177117348,4.304151565570683,2.3343696762734787,5.378188655652365,5.341644206244369,5.084862840163895,3.954334597690431,4.805330804530818,2.756584891051753,4.812007121640063,3.878055563682096,2.587483402602997,4.205043713870923,5.304897215912382,4.717086468209181,1.9695712403857004,2.7154509791121733,5.085408030660124,3.4639065200842256,4.693163747691608,5.878710581001821,4.0168486164553086,3.102958884886333,1.8019689911559584,4.6262508788695165,3.004333364030981,3.0748677226444023,1.919570552993124,3.0767602556220157,2.4277535493884,4.797505171999751,5.742255627759175,3.83424657789474,4.997923160473016,3.7894775543646895,2.7844192614186394,6.386022316843413,2.888811938322004,0.7238762449749971,3.2904599923210704,4.793488619030484,2.476188803269299,5.354464538489656,3.971298817722728,2.863165327266441,3.4017887123391124,2.630229271548469,1.6649875810679933,3.7439924249946657,1.362815491442517,2.4077511964926512,2.401471068918944,2.1416924822365413,43,65,0
cell5,2.967068043328921,5.37122206385317,5.397547645801118,5.085690693832645,6.446139754312006,2.4233895056287933,1.8589591290388412,4.814974071784656,1.717342926316189,4.744476619887733,5.363849076351729,5.218596215595853,4.64148986643844,4.295610434686081,1.5145908333559672,4.427200282259986,1.5516187719183256,5.180783962630165,4.449225629881129,1.854653921563044,4.045677237614383,5.302612962727661,3.827481260530631,2.8705668316140494,4.10018219240031,4.792159444133965,5.5197127147312885,2.698910936768611,3.92780140889648,3.515952245147162,2.884890310959462,1.8132508702866472,6.27188653642902,3.567177292473468,3.257530848236348,3.8304550692565145,3.351408904058677,6.141138852613247,1.0542754372265513,3.4252883903910707,3.129218569367863,2.59227269991289,3.007462644750348,2.1824390806726397,4.804654199093793,4.90073788855727,5.621748547111857,3.331052299796264,4.094775287621927,3.9717635640748457,3.6693656772125016,5.036333774071252,4.052681575667681,5.725609244577206,4.814738538186895,2.171193789005731,5.107713037071711,3.673479990381316,4.271296524595548,2.48943953507877,5.372088591534905,5.473553127075456,5.099024413356535,3.4832672510195484,4.583483826333752,2.602209938849593,4.228796074050706,3.696047369528936,1.1004249873645418,4.267857882397903,5.105641334451145,4.693245959521508,1.937233805165819,2.6050005473549582,5.371777077796167,3.195657258212317,4.610119210274528,5.9725911044026505,3.18821289618053,2.4391035470549096,1.7461125371977744,4.748616169055182,3.3472598974102405,2.9476242830631234,1.7390843053943426,2.6275099373571287,2.194960481737702,4.960684762234592,5.56613243921553,3.875182198439916,4.898569878074259,3.869163894274707,2.572620065191321,6.385447659604467,2.820227941280618,0.7260135616585889,3.311401625483493,4.71074097253362,1.902259409577452,5.368337614852665,4.056435899175955,2.638659393686402,3.4629758799830417,2.305524550438257,1.970468968608626,3.6523998827089903,1.1049673255715948,2.4954218206146748,2.2877454184846227,2.13709597596247,43,67,0
cell6,2.965491406557314,5.339038761138824,5.041042565087999,4.934837709566699,6.451054753803514,2.3105193582695773,2.387122223190343,4.719947375927459,1.618667941712794,4.680675322402566,5.267839668579559,5.142169479198063,4.644422417357683,4.2013814137360335,2.434950544249673,4.451253384358809,2.4175837449155524,5.058560740843406,4.431984397368453,1.6149375605328165,4.132184914872692,5.330078778493002,3.927672894050551,3.432631553792985,4.006355836693115,4.29728856775098,5.657277537779852,3.0763530230899554,4.395276546072398,3.295570184470944,4.510338576797138,2.9063503148523853,6.309334362208608,3.3201881472971326,3.1797984539109603,3.747932177794997,3.522294437236386,6.163914917042756,1.4529654567883337,3.0520530653696705,3.122430716232233,2.9776085401972487,2.75287427415931,3.187653031585593,4.763692875291939,4.788848304620129,5.513938489251898,3.280447164992261,4.430341110533592,3.788794128979004,3.7319764542085134,5.068782908231347,3.841629717164116,5.812092643550876,4.468664032279124,2.5427427301755654,5.014437367502527,3.550896317324433,4.336308959936135,2.249267946047678,5.375338035966019,5.32117152649629,5.083546816859983,3.5108427412266434,4.560816704454754,2.1111334919871285,4.376804294455948,3.563589491479864,1.296079794462068,4.277738046551627,5.151144458750494,4.5483616609748125,1.9147889820590875,2.508552234848985,5.1580864133053135,3.18870327144846,4.63251097595094,5.908199830860911,4.587780805427688,2.9924030042996645,1.8708483452023128,4.727453928575865,2.9049678730845816,2.826879150091105,2.15928377777582,2.675748568277152,2.395253547541213,4.915256461861412,5.848462520807202,3.978213206958461,4.879985837375607,3.785441662485861,2.8558172734340004,6.418254218657466,2.7649991903973814,0.7541521095379612,3.2526529637638784,4.474970398525582,2.6150885975001503,5.307824461595996,3.974966531516202,2.8914936796359885,3.5335897262821945,2.40148140821175,1.693281149052965,3.62266799975152,1.6951540054363698,2.440966024251046,2.4083799753157065,3.0483827799337773,43,68,0
cell7,2.8854325645516377,5.4193777725852215,5.180672358211873,5.0783614259064604,6.085261154703829,2.498997995533114,1.6092413713966258,4.691300001012071,1.7839907737443084,4.78576724612113,5.372656304331809,5.034709907175366,4.715617932314048,4.290454705761909,1.340819521918628,4.204443714788604,1.7589652419951525,5.042697410279974,4.416519057313575,1.5536467485392853,4.312514562700077,4.947062242937831,4.0609734795345735,3.3072748443024365,4.098771711595053,4.484381744658475,5.733099117904219,3.3711409827051737,4.269147828559088,3.3409848852047626,3.606402625082717,2.8488071377477744,6.239515578621544,3.884502141618108,3.4043223545438983,3.899488573953633,3.648949552858315,6.1986790751527066,1.1024872547996,3.1386278371797736,3.5221865960718897,2.260760858129777,3.134371128367616,2.9377636894428605,4.88328710577369,4.539567456535253,5.735102854698928,3.673931191941441,3.8490873748561727,3.831048105591064,3.629748550580935,4.914179238305354,3.949731939637813,5.962245508780973,4.552148716037339,2.7333476166057413,4.967937531135716,3.712504010065999,3.969580015365951,2.5192796770219115,5.165075937274628,5.379001676701607,5.181940000605145,3.868584893568849,4.704142045327334,2.8151382510010428,4.774277915442361,3.574850350553849,1.10975736017007,4.316482362680363,5.3060085485239705,4.89645513176101,2.108072903564447,3.2862296557766704,5.282995079622426,2.7635519192925235,4.757251488387875,5.989870154756297,3.7656902842152102,2.7646294993809444,1.9010779828078477,4.791718245712328,3.062816330173386,2.9452476377802603,2.067284970444577,2.980403172623029,2.580739241372287,4.856561743364108,5.612696021729708,3.98709071195048,4.959325340353184,3.867424869755827,2.9600632475983946,6.446837807455381,2.8317961485790795,0.7250807602786715,3.373675161160789,4.4559275566185885,2.3105651126714783,5.4054544461039615,3.999983799134706,2.8516301059635683,3.4915045529855315,1.9965130826852848,1.9944207248524517,3.80401975339553,1.0448557077865894,2.7252878493830663,2.308985664762206,2.0751380282803176,44,66,0
cell8,3.053800976728089,5.4282242298109376,5.031259405089008,4.973518055282315,6.266994241575718,2.253525323190912,1.4108082842196903,4.562972063598851,1.065628786496621,4.75251642527089,5.398517976710159,4.881663464902533,4.259646216571398,4.148832791900968,1.5355496403610922,4.043401345016495,1.620650279156823,5.134367633855937,4.872715805530037,1.8252003077420031,4.00939962802645,5.456345306349276,3.976953683493426,2.712823367463109,3.99597434112356,4.700610679906758,5.71424405827129,3.1407850317964523,3.868481825257597,3.50407860020277,3.827664377080852,1.984858967004983,6.349070430736188,3.4096100584471736,3.1694349000214204,3.431414355875921,3.3796222239220035,6.127632595594732,1.1139278163234811,2.992514497444177,3.329755507933564,2.568288728578997,2.9395490234769737,2.460358328234625,4.734453071408844,4.714125334921867,5.5900499738307055,3.020179966249476,3.77712737032899,3.4788738798815046,3.4631685807804944,4.897415319671245,3.8804745320078498,5.963707845332508,4.653588019201741,2.1689744252701746,4.923303998546115,3.4250453500161253,4.504939451414803,2.5714958406968504,4.41004843010829,5.473898764841373,5.1688110367246525,3.7526827574827633,4.5902133173809245,2.38273792783251,4.90010947366375,3.855640719674957,1.2805331506581776,4.403170123376323,4.886748654040135,4.986825671471675,1.803096657875012,3.0559753207204343,5.349082464160149,2.932309035649202,4.548896632205553,5.966411128048739,3.632884232947589,2.3858272936965075,1.67796730962877,4.4885305538224864,3.251693920929917,2.5909221034156062,1.663026633608048,2.425933928155057,2.239943847010029,4.879004604389672,6.2207717378385325,3.827684119247437,4.970682540259652,3.744579835224629,2.774713296589676,6.512916293400365,2.871323025296457,0.7144297249583057,3.3621137581057425,4.367225439339764,2.188939391082343,5.443016476174783,4.053163956450755,2.323193701253964,3.325278338355674,2.5980412676749767,1.8464974998960348,3.775286568284548,1.2129788473250702,2.3637823632509454,2.150202400916573,2.080147665473198,43,64,0
cell9,2.87029864797399,5.231088665853839,5.4579158863154245,4.875612266536414,6.056280904326639,2.9601698090259867,1.9227270969536328,5.1855127381666914,1.4965653987955414,4.78560167543522,5.2163726772002095,5.045648807625442,4.558739246401158,4.11750197115897,1.475235151829513,4.371309852703656,1.4292207944847166,5.230480426722516,4.12117903926106,1.5258612328071517,2.306667341611423,5.233078171960182,4.290692531536662,3.284783517678453,4.219173977413946,4.745089411358971,5.2352539306480725,3.86741259869134,4.412355848068953,3.747376598497129,3.714853534936285,2.3610192928222227,6.15183882821578,3.413965860072462,3.168151175327559,4.407041665544645,3.674417585739557,6.160818267681854,1.0616247429453507,3.365375154988343,3.267302262196333,2.3217830402437256,3.7663066413707553,2.9866858980942976,4.763531765617432,4.774507427579005,5.992836502225437,3.5189809945401413,4.022566801872314,3.9287543419024185,3.4504400643800106,4.9919681047679365,4.093459028473285,6.010393634958805,4.956760590632687,2.313379575923208,4.995300861256622,3.9096655626756665,3.8738106160954255,2.2912219794033435,4.3479466676241385,5.648408850270848,5.462612605358387,4.215382900566291,4.889225681983134,2.568436154638363,4.2263114068186285,3.898736965896077,0.984614166445938,4.188400108662879,4.871109626177603,5.135065828853764,2.042571078535529,3.09738039384808,5.183524688469631,3.155162449527944,4.456631401410263,6.015986683225745,3.674778380391354,2.8250320602419525,1.8005733616993254,4.625306071898477,3.5545436749509625,2.6669493849986536,1.4631651142008866,2.776001374240572,2.554642213414335,4.899407377105545,5.687486111840975,4.154653947493456,4.790518634310144,4.296944547315273,2.779608986938255,6.272510762199082,2.851543784492524,0.7238426481232997,3.3876935259912124,4.514717582435466,3.00275227918344,5.202929709754454,4.020018846764449,3.745094266713944,3.322211405994969,2.263369973053696,2.6884891357461043,3.6840907834509,1.232802731504013,3.0953058521909327,2.2176827638006693,2.448915423211343,45,66,0
cell10,3.1383761013381166,5.456772787953424,5.140771787987839,5.106271647802384,6.386212922349402,2.681076697407483,1.6527685646064822,4.582385652389099,1.3001346176377548,4.12755885486649,5.275588069869079,4.856729265249402,4.193867267099544,4.239047357662357,1.7729544492710103,4.217372760361469,1.620780189733676,5.036085805648281,4.827451071477488,2.119353522781224,2.447776216379558,5.50681090977473,3.872415937600136,2.906702153210328,4.120809178843387,4.603226018008441,5.258630049400667,3.2246066111392424,4.690589139617957,3.5303653938676653,4.875007812714641,2.80468089690912,6.365012463581074,3.786795417669008,2.9945403738206906,3.57907620246976,3.6460695526621993,6.154563427293381,0.9267405437985664,3.1572853717048184,2.7166439492526733,2.049894680273306,3.0981494616653737,3.035927885718862,4.795042868733469,4.8453976356924935,5.706417615266939,3.364550411101233,3.7497207888589257,3.827214319485903,3.537108449511953,4.995327876004494,3.883483066406809,5.740283947084359,4.706986603481378,2.736021727171353,5.045476825751378,3.747710837197987,4.234178497208396,2.109024442299063,4.655491272409035,5.155775984178334,5.662287988244957,3.801247182581531,4.718188682743962,2.585464266817357,4.648335152926491,3.714083227003449,2.576203945609522,4.26618938862057,4.756977562999415,4.726310601586914,2.2595114544303705,3.441336382933337,4.748283009874773,3.476887906221288,4.846082042291345,6.04474712118563,4.267881822295825,2.8603730784259915,1.7844070089367454,4.597847950058089,3.4101097729253183,2.9311016748762286,1.8734740447103388,2.834010238229256,2.661100037182529,4.843047316424767,5.800859462294049,3.941868727730717,4.943002332509569,3.864324076468159,2.90167663901083,6.416579968240098,2.938396402816412,0.7594382430378828,3.414681789888198,4.469102625086696,2.769259864139417,5.402531521852647,4.100949171265928,2.6721670259289407,3.61359610472872,2.6571138579142186,2.091663775797049,3.8037768337344353,1.308147331036647,2.6099291156885864,2.521913005666624,2.5382347971661225,44,67,0
