gene1,gene2
1,2
1,6
1,10
1,19
2,10
3,2
4,2
5,2
5,6
5,10
5,19
5,80
6,6
7,2
7,6
7,10
7,19
8,2
8,6
8,10
8,19
9,2
9,6
9,10
9,19
11,10
11,19
12,6
12,10
12,91
13,10
14,6
15,10
16,6
16,10
17,10
18,2
18,10
18,91
20,19
21,10
21,19
21,80
22,10
22,19
22,91
23,19
24,10
25,19
25,80
25,91
26,19
26,91
27,19
27,80
28,2
28,6
29,10
30,2
30,6
30,91
31,2
31,19
32,19
32,80
32,91
33,19
34,19
35,6
35,10
36,6
37,2
37,6
37,10
37,19
38,2
38,6
38,10
39,10
40,19
40,80
41,10
42,2
42,10
43,19
44,10
44,91
45,6
46,10
47,19
48,2
48,19
48,80
49,10
50,10
51,6
51,19
52,10
52,91
53,10
54,2
54,6
54,10
54,19
55,10
56,10
57,19
57,80
58,6
58,80
59,2
59,10
60,2
60,6
61,19
62,10
63,10
63,91
64,19
64,80
65,19
65,80
66,10
67,10
68,6
69,10
69,19
70,2
70,10
71,10
72,10
73,6
73,80
74,6
75,10
75,19
76,6
77,2
77,10
77,19
77,80
78,2
78,80
79,10
81,2
81,80
82,10
82,80
82,91
83,6
84,19
84,80
84,91
85,10
85,19
86,2
86,6
86,19
86,80
87,80
88,6
88,10
89,2
90,80
92,10
93,80
93,91
94,10
94,91
95,80
96,80
97,10
97,19
98,10
99,10
99,19
100,10
100,91
