,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,x,y,ClusterID
cell1,3.109727751409988,3.146918199193067,4.046615221071831,2.3032272127016715,3.6957813370604895,2.089006226144524,3.8513106241132697,4.14152085120321,4.524144665672691,3.6942480598802674,4.565493350222728,2.310648535610694,3.3955650009160623,3.3240191022528647,4.879737796141569,3.93335331960961,4.335899708882488,4.4841957828643615,2.556689065048799,5.566873214171765,4.780664308319882,1.7498182211866151,2.757765297669991,3.3029893345615235,2.742110141687753,3.187070695581381,3.557328967250281,1.4515259233402118,3.464079231278948,1.0564503480464154,3.652251892254374,1.5380156676614392,5.512925051806379,4.787451360160271,2.6466714473759176,3.8817164957921926,2.504015699079566,7.330315676074786,3.773021312482841,1.954965357979465,1.2052178854949736,1.4293772585149864,0.8784749056230011,5.295628671086608,1.6952253594242126,2.3642602213036974,4.673809619451324,2.853721746940133,0.9348036662498808,4.810791446494736,1.5364352605395952,4.272391520672148,2.761615206873203,4.951705943001091,5.273410266709303,4.248043545435572,5.386287051381416,2.206169005491768,3.9857424569260793,1.5306412708611228,3.0657805387785024,3.0419211507479478,3.534554037126925,2.875194558468956,2.491387417236897,5.643660998716068,4.2945467446036565,2.018488511144124,0.9554548972008932,2.121664699287192,6.524753194679801,5.597015011883048,3.792351936015539,2.9997552524896847,2.833636303084725,2.139371397635476,4.23197409648948,5.2926184131348855,7.838268117060394,2.815052564789432,2.9785663216781617,2.0324430686533623,2.6808404178481218,4.144047098852741,5.189047676344127,3.0724485603733243,3.3366930216841397,2.9280814388579977,5.390439620381276,4.838216333054122,1.0295171792405056,3.7132720381912816,3.1995370128573297,4.1942870895385145,1.9400204381041737,2.293718116706709,3.622637650353652,3.5227301127370403,4.113450356656737,0.7471243039621975,2.1651175294313987,1.484623138284463,1.7930300635885268,3.413400668219141,1.887887294758304,1.4902708188994844,1.722613647689334,1.247250207734444,3.314435762527055,0.9683996938474884,41,66,3
cell2,3.1969650526292,3.101746156757373,4.164832938260765,2.316126862041046,4.237170452413432,2.214354411073912,3.159925957494867,4.372996973652042,4.138753336531993,3.7222416891866144,5.094195779559608,2.7162999738356977,3.629135408804892,3.449717516428661,4.859238667139257,4.079137914928066,4.51318032182259,4.490063472954676,2.522021474263922,5.635038484900028,5.068331701761945,1.756146908720515,2.9319875306259,3.448862148705778,2.9399045947215443,3.022232323729003,3.4500682962607487,1.7847754734530448,3.5018457685001185,1.7328421692950458,4.1822674683224825,1.6910028918451363,5.502327953847667,4.969948820638517,3.015581744914569,3.4151176379886508,2.418563105556413,6.940219095929178,4.052565732545607,2.295137180608393,2.2278906890674843,1.13321447218218,0.9159511890120704,4.907549308179138,1.5801437220697585,2.7578308261024143,4.966051797207493,3.3719617599630545,1.7122233477068038,4.956087663943339,1.7927817655214846,4.292482818174481,3.2625273306199905,5.173259045895604,5.508592479877082,4.313236600809471,5.544214714030697,2.5196559296051717,4.187586630149519,1.9112153860448349,3.209633404763186,2.8737188630552843,3.713069686178258,2.9450870091151216,3.391067459306898,5.405684049773848,4.473076373751541,2.190337252638575,1.350684563571657,2.165939672055996,6.333161907574003,5.751146479053844,3.860959963929425,2.9272569402562074,2.6346287994790503,2.214270260097872,4.344934092477034,5.384296343752846,7.854589933931991,2.83328690573584,3.1757991397034413,2.420363287122744,2.800697002527108,3.876181660484812,5.160437291467916,2.3295199229485566,3.559350500210888,3.3703683225130945,5.535314920507491,4.992912534933431,1.0317559442766897,3.877461260328005,3.424905949231809,4.363583175376621,1.9084028115080829,2.099438230962104,3.537615270814804,3.366756459437555,4.205480503311502,0.7680962898638259,2.236196914861073,1.744579130165378,2.110862814718924,3.59737310855116,1.9365703375828909,1.494422756849224,1.5070195621953184,1.1925176979449783,4.050152244159849,0.9878242752512292,42,66,3
cell3,3.075414228578892,2.8893784553864483,4.136690047288144,2.17313198405364,3.5469407075531985,2.4066354009950417,2.9253742268220466,4.3758366178695365,3.656670518647278,3.766367118813824,5.017342284769765,2.710047679423143,3.573592143373233,3.385376883300391,4.863314754578187,3.99552825369321,4.502184109532742,4.653073443865043,2.666125914548537,5.740585727046546,5.072577623858505,1.9010598010605655,2.760947008721441,3.5022159245781284,2.614767982451808,3.1108208672315487,3.6166604941076073,1.636930270983948,3.3871809643106943,1.0977319660085474,4.444591253460368,1.6561799005087643,5.516699350364879,4.912142990369522,3.034660882651512,3.818742432949335,2.3078616906802307,6.872179592580276,3.9414393702656296,2.090414814416411,2.2951109755219217,1.1452015920186511,0.8778482087191645,4.785873017224048,1.492600291805544,2.662870339896424,4.914013884431884,3.77995095236498,1.1029108732663435,5.057352866728837,1.777690485786071,4.244158615182439,3.45546165327244,5.057149831450155,5.470867043840358,4.550194672137566,5.518738812337986,2.422189377012894,4.275182046359778,2.053328429675869,3.145778371902735,3.242611187685552,3.6712266837263914,3.004001276237519,2.6736688646998394,5.285983484548013,4.424598721695888,2.3088889828970167,1.142559531006864,2.596035744500788,6.908945527964009,5.708084146412301,3.904304485969527,2.992137899987009,2.992550382548742,2.429199013972321,4.316872953459145,5.297420100026292,7.731929531476831,3.0138275047743988,2.949072646060547,2.27472462474765,2.7624904873496288,3.800093380091992,5.290440930804839,3.2728857537925142,3.6354040073068505,3.1084590414835214,5.436460637385882,4.994815707397192,1.1248192343915335,3.8607110599061367,3.3593786490705164,4.232479396808739,1.757569929745198,2.2234945074448667,3.496361255165773,3.47503355986459,4.437045588850419,0.7491437949416037,2.192448131886437,1.547228132198161,2.111483744036362,3.589367487371933,2.28725797314974,1.5428930433557773,1.815999766418924,1.1192185738563616,3.9726892768243953,0.9922762201421064,43,66,3
cell4,3.5005488069490664,3.1012619903788097,4.082252276323228,2.38604933368993,4.2460422580468,2.628475420417306,3.4953835792642667,4.522787955944436,3.8953033141035376,3.728141338288734,4.5861940134658665,2.7293437231041384,3.489671369663716,3.340701696371949,4.860026224857074,4.045460111471678,4.627608298142457,4.569919749190022,2.490912040243541,5.517903798899741,4.958111418943627,1.7837553591858497,2.736014607874361,3.5018243299497325,2.6727226071168264,3.19649601237182,3.60867134862473,1.5600636361417,3.170122314724411,1.912229625477744,3.8775727567725577,1.7025673317246048,5.654133204273663,4.88142858337187,2.9767435552336687,3.70396344067689,2.86394138171508,7.009807943729726,3.9093866333514735,1.966628529486404,2.4801207628828306,1.3034250190766064,0.9271629192666608,4.744106143639643,1.5781622022588009,2.8270744772358976,5.034470324914931,3.826136430866895,1.2788281121119889,4.838887161339299,1.6979503554394193,4.084819176372021,2.775397673697482,5.065850261668146,5.433174169396937,4.41674638006925,5.452671411314695,2.030001202742767,4.179063735677785,1.730829104853985,3.0647328017423883,2.727836366188685,3.326151929650986,3.0066941248763137,2.883777438183172,5.30932544883948,4.435983702176232,1.97597516278034,1.2551967052763815,2.1494558785943565,6.876835667513968,5.719738145679535,3.804771494597471,2.9009776884571568,3.039117014964676,2.0525331389408006,3.9866048180268816,5.297575229194028,7.834524581111043,2.607131455076777,3.01866272224952,2.3028628362381154,2.68939496160291,3.356869702721068,4.85564060948214,2.858339235258784,3.209369959524799,3.16460848865107,5.386767235039372,4.805609277913256,1.1519500373293186,3.740507903280556,3.255138159709085,4.259954777066635,1.8545441768202944,2.302426422421905,3.370349019730004,3.463061120815013,4.316481378588311,0.749754146994207,2.1528307902614983,1.7071346855837368,2.0297991354949776,3.5294481422197856,1.9680421226561124,1.3988068878902629,1.5726547236310555,1.098884600149537,3.998561310857041,0.934890004293642,43,65,3
cell5,3.035238370070775,2.632139725116202,3.9490102638180624,2.0540242970081097,3.2888105535270293,1.9930470703023555,3.4754896256342,4.386444653074441,3.652199251161408,3.7397445956636246,4.873734836422861,2.504649310960521,3.5372264716598223,3.3167634723278967,4.773217226757259,3.8606462737667018,4.783271183591679,4.583916297159203,2.6577311531987693,5.521798868316872,4.903136230550639,1.775998702290455,2.797948362684565,3.3180602296028123,2.5034649493264207,3.119310043385471,3.1562693577410617,1.3525951416576667,3.433435926814136,1.1574402703909306,4.014475663831614,1.7352880796521355,5.544459033421079,4.787021777376177,2.997546934549151,3.7533761407002495,2.4951269144687624,7.304662117399747,3.9239986502537936,1.9125992890307224,2.168510277082402,1.4068751065215903,0.8528685691444413,4.471989933038501,1.6394051755882355,2.240518500028509,4.937390619505281,3.1894977344246853,1.0312001232611478,4.9750613220460265,1.4773934584778758,4.1801433407745305,3.258252540048097,4.693346390788064,5.342887481940436,4.232683914674985,5.364739933059479,2.060770301168412,4.394597547488223,1.795836755928549,2.931715833823399,2.662033977666172,3.5984346183849145,3.110780802699197,2.1995600008812537,5.313003280583075,4.307298292425387,2.095942659956969,0.935223842474924,2.1710322245386995,7.034496622034142,5.581030020214641,3.6135123475149458,2.994125415808185,2.7402276295369035,2.2318157073866414,4.044035224157426,5.150957542811872,7.740931129011835,2.760191118546878,2.696147215452804,2.2934608944582457,2.626027133419315,3.975313685091604,5.240106816081453,2.688231094247213,3.4960512429101835,3.1270145623382897,5.273566457720688,4.712919827955204,1.1496651216014795,3.7512533544307702,3.042700208868642,4.220886271419715,1.620773780506629,2.174637750240132,3.435890820023113,3.495974294098115,4.136044956556754,0.7379290068202516,2.2422798008439244,1.5710680320320771,1.69000547508243,3.431582805780939,2.3099283311386047,1.4248652511431152,1.4895233336749347,0.975794930391843,3.9679088262530153,0.9258116247747604,43,67,3
cell6,3.3548231667765744,3.1974428071844536,4.143047549539671,2.2294988042663166,4.201606081346887,2.1795145318027065,3.079047517081885,4.431549215455332,3.613741135575622,3.6987801711937776,5.026847488685453,2.5003360539612416,3.533005218761147,3.4387577082723992,4.959628887279413,4.131059767075587,4.831886573877883,4.659885657837778,2.5264727867384145,5.791486312928539,4.993295962145165,1.7631920866586133,2.928056761021409,3.502340596834137,2.83526829721181,3.127469361387988,3.7034178890407774,1.6798595698546517,3.5860219680042893,1.3721839215292333,3.9584384496808704,1.4316627957205688,5.692582200076282,4.938994391934877,2.812292195753409,3.6085671694749264,2.9415036799136653,7.124028222405587,3.952485243034422,1.8954535966054056,1.1314076285867136,1.239812520600106,1.158217027341894,4.679020860907873,1.27198939222431,2.971206501731214,5.1165465925099305,3.3628563852736044,0.9761970003766908,4.636879507359253,1.6800860266325126,4.401488119828878,3.1160689354874607,5.150299716341908,5.47106699623712,4.502243043951092,5.501669244562899,2.119834908304437,4.473017565434546,1.6862920463620037,2.9906441442476543,2.870057265614724,3.746247413636858,2.9462249590676124,2.59672881108295,5.523007459615406,4.294842923911652,2.1517782615340155,1.126427167043788,2.49687673755273,6.815848456185793,5.737657582740448,3.8910584776944046,2.8891006417828065,2.4023871803812167,2.189526356494316,4.279448752319391,5.331569442972246,7.57942315499718,2.861278720773686,3.1835294842825026,2.1701283558494,2.7701213696366027,4.113778415481936,5.253307683954568,3.177545276417421,3.399748981409031,3.1888708994394044,5.436819626157755,4.881511112419886,1.0262674167373538,3.886493374877917,3.358362067802849,4.290221215326425,1.8850579111190728,2.2363302418998603,3.634164929216822,3.573167974310731,4.504442737350352,0.7476369368257689,2.103714942691943,1.6344390020496138,2.0330182867041904,3.632313165905012,2.487703356934292,1.2962792983903295,1.6536606927806508,1.0156865080817203,3.9177596260097904,1.0043312785522664,43,68,3
cell7,3.09653493962174,2.8673559179706496,3.8171003263929135,2.2234977679885835,3.851947915787068,1.9010694621440123,3.326727168051585,4.168453354641943,3.739509238326575,3.676816993363901,4.559743795565375,2.6612816299212554,3.3833184432917944,3.333445277475932,4.756688214380299,4.024232984913351,4.620721322934056,4.572597397952445,2.4652515982524417,5.603466360608535,4.896971342361464,1.8288473430413223,2.8062551770483344,3.455560569992977,2.660344599106525,2.8816325933958677,3.4342184724555005,1.3713094669887405,3.4408528457112384,1.6666072049915617,3.6766114527108327,1.6916283468864457,5.614533572400855,4.824488030490991,2.867383422757242,3.388883859090433,2.7371146331362235,7.282053341514918,3.8122974859534926,2.0277820711480263,2.2851641141575647,1.2211503596725282,1.010205130396022,4.931644642867222,1.676244702767291,2.543062067563056,4.736549261708115,3.2747942266807817,1.0120826664202751,4.474236341703345,1.5756416369322577,3.933318911039271,2.867213236860835,4.820669614998642,5.445211068229104,4.252627888579131,5.364595704034046,2.089201333936461,4.028250531065225,1.6344597868796813,2.848346962378212,2.8164424348988626,3.4940218981520434,2.838865785104735,2.537959239142879,5.410579988902519,4.318498497298437,2.09296339882533,1.365221425645046,2.129205856889285,6.8185078430109085,5.671951265193284,3.687953445216674,2.920630131849882,2.74287344944802,2.017842486899571,4.142729374126526,5.121697723989559,7.869513147899238,2.882116870707406,2.816459906338759,2.095914932035018,2.69267074087321,3.549400221205669,4.996876282482135,3.102244763196362,3.218784490200782,3.050978279836424,5.240894084251624,4.673952355296225,1.0033273739801103,3.74606870829689,3.2663405239509578,4.396969908724485,1.6730619565871647,2.321715702220867,3.2682007116210823,3.5852864895204246,4.1008212440417084,0.7399052791940611,2.1448924696630374,1.6406359382042128,1.8881218454011224,3.499718474847703,2.719948650302276,1.1480581478854093,1.5107997555686403,1.1514214433253962,4.019703098633463,1.1137572881659523,44,66,3
cell8,3.181380571953261,3.141747823008841,4.108932214769624,2.269168273995012,4.285581954665038,2.199906631214116,4.263540093824809,4.470463626692693,3.911457634054033,3.721511305139837,4.726667424695508,2.736405712994554,3.751522989559919,3.404924567202987,5.105646402285618,4.12097540405175,4.725724385087966,4.626763498312213,2.532361976542952,5.607263926669084,4.914079601481188,1.8064722644732456,2.869874726720435,3.40236807315493,2.8087003250348035,3.00852041728408,3.654376427479408,1.6086391679820031,3.4660607537612367,1.195124847507317,4.390093360125567,1.8186892923775588,5.680001352640368,4.880263807448332,3.0230463386431308,3.7300981264537834,2.892481474848608,6.9611305984052025,4.121631158556442,2.088522710445729,2.3627453605478004,1.3961505400999052,0.8612540554928269,4.946074571715625,1.7623273047759949,2.7924710928007803,4.832425407862254,3.230319904153383,0.9739046612964468,4.704334732255002,1.6624960215257365,4.209083118973496,3.289769413833731,5.130312375097983,5.54677647899389,4.51614656237315,5.476530878463209,2.722773520441781,4.266211498054401,2.0271010551497133,2.9828059633456294,3.008204123294372,3.738218060781596,3.0818697972130584,2.925011958986848,5.680682464865981,4.520725174799424,2.1875759548019893,1.1556347291275937,2.681649615525257,6.75035860129263,5.75702795539109,3.75217106429672,3.0155600873294404,2.8554096156352284,2.1695521334600465,4.36883043505452,5.280106194356788,7.675157397132637,3.032859847333736,3.095359563404871,2.2194252064022137,2.7666958038615785,3.755700568986164,5.335461899800663,2.665424867691637,3.650462727450289,3.126002163730392,5.406883141401685,4.739726576964004,1.071002127616291,3.8833985204138126,3.349786124385421,4.385231225058623,1.585736809419403,2.338724568173294,3.5409491785994565,3.519237698164999,4.004443331339344,0.7503418685801525,2.2586814906638395,1.759996093585984,2.018066364977717,3.573583289855631,2.8692366945362267,1.4740011098728645,1.496669449254337,1.1846376266381369,4.402195406028016,0.9273857399395125,43,64,3
cell9,2.9550427337843472,2.933940951980673,3.901088797718829,2.049541276122409,3.9319777154885394,2.208537713847784,3.2799864580999154,4.293326047247853,3.643732190042992,3.5772771197804394,4.491023141806289,2.388453299961621,3.449095078358834,3.2051125747955123,4.894103534373412,3.9466525373261354,5.248601280435769,4.65316922447158,2.478341604001848,5.403315437531355,4.807220390207124,1.744333725902532,2.692033972683402,3.273332290463288,2.681895404074616,2.906736983604475,3.4440976109842985,1.453974605520972,3.138874272306628,1.6551692114429202,4.006930041694515,1.5964563750800995,5.402551149206355,4.739767561856183,2.871721225810961,3.4696918890090727,2.5616825111583825,7.112263746381977,3.646203257290943,1.8327771288239751,2.285136555295882,1.1668272409427127,0.8739284758769634,4.875275739512434,1.3266197598068672,2.830628196511789,4.942804838850345,3.2235633335912883,0.9759993970587962,4.5430481984604665,1.556960095369312,4.138009231353077,2.626369652846289,4.887961832007484,5.310054301642435,4.315748145104733,5.259704241725512,2.235822597078969,3.805706630605826,1.3976840558197396,2.960202984497431,2.656803743695632,3.4890602210143644,2.776407288687189,2.387842936669216,5.267439414755929,4.337107587988781,1.890294091650909,0.9935117605552204,2.299338892268579,7.159157297607206,5.551665451964898,3.592822435811969,2.690106276852902,2.408293325962916,1.908976255444864,3.8911246778565087,5.078050854225028,7.866811801939109,2.405213326301736,2.92502430758491,2.150679616154444,2.588526050077578,3.4601769022078352,5.265644927703147,2.653478278744757,3.1387078168195925,3.050920932724784,5.214213367896889,4.639419441293783,0.985864622651251,3.686397875652083,3.2815521256986155,4.109996838182611,1.629062988134782,2.1387339683472204,3.6973204858545774,3.286587312956439,4.1719906386342105,0.7486705958934117,2.098687160527761,1.67523177158647,1.9368016140550892,3.384028723156148,2.1581032589443603,1.0249879345817512,1.590734180799296,0.9101894955243676,4.199869676551311,0.8768942574289592,45,66,3
cell10,2.9750773350684705,3.028465607900785,3.960562724638281,2.174996818142106,4.024936574579704,1.8970422192214424,3.6018375379904155,4.282184040562592,3.931770911766189,3.6679772032911417,4.378737591598561,2.494987426203283,3.577443555659631,3.2240293207476363,4.857544384773295,3.9725841378963618,5.118436540169311,4.264904457309312,2.449454903965512,5.443876175735745,4.952195942037669,1.7879826281326303,2.7595439324574453,3.287350087656294,2.324202648214692,3.112133259035082,3.502064463916937,1.3241155129993996,3.42531528485726,1.242189689605121,3.445845599608936,1.3942893580201774,5.4430457400219465,4.819504844946117,2.7653545832346995,3.5819835075765627,2.6422221312824443,7.351942521278116,3.798229899061549,1.914682849807793,2.1783486018938145,1.2435731588050012,1.038957430902817,4.513889573438003,1.6781841024769604,2.2216779790969574,5.066247578569167,3.2366591337915307,1.0038079910987865,3.706775791272657,1.591127865522303,4.164601883072468,3.126455093301531,4.8937523580463935,5.358206388198388,4.2722922959898,5.355989479632706,2.1699579992073774,4.042674081358297,1.4673684271184095,2.8773992800581665,2.8313198317092017,3.444664663353792,3.066245461404502,2.4893146194061124,5.433566062017637,4.125689190599739,1.9119594116309864,1.3955791926360337,2.27344752446862,7.093669107533771,5.584238698669267,3.67507454651248,2.9531330789046386,2.2999253457281146,1.9283583815318304,4.2688273946066,5.1565928946445965,7.73055547567375,2.8947212790154078,2.8205179446651694,2.184953244635106,2.589221859514462,3.97520588845196,5.117908749923295,2.9863098544649387,3.5018475104025333,2.8939036578720287,5.312431030642671,4.751357420945065,1.12333834565029,3.750742519747597,3.4149153921517112,4.307937013601062,1.745366511649684,2.2872986855712063,3.413815581676648,3.025991815745881,4.1247712287496165,0.7341997905397268,2.1374938201165694,1.6582462458421532,1.769752287554293,3.44172263676311,1.6649044554845511,0.9948958020493306,1.5441315344600546,1.0430296594690691,3.794030010344368,0.972899842609946,44,67,3
