regulated.gene,regulator.gene,regulator.effect
1,14,4.484282945312429
2,147,2.0936829047672028
3,62,3.927624299448116
3,57,1.9087374519777436
4,57,4.709101786308309
4,147,3.7512616560781993
6,18,2.439500565630264
7,18,1.136509303642818
9,32,3.3492232837851077
10,18,3.002097465847203
11,147,4.383566375427576
12,57,1.021522201033793
13,8,4.866363638395675
15,32,1.887084508776009
16,5,1.5897465963165844
17,14,1.0962758542705977
19,25,1.8584256140560973
20,147,3.736777008520847
20,62,4.015004857495624
21,57,3.928283036742248
22,25,4.839507155409911
23,57,4.802927957014087
24,57,4.066457209614043
26,14,3.827106522986746
27,62,3.098260356621081
28,14,3.661216585982186
28,32,3.835484288418007
29,32,2.6463883787751383
30,25,4.918847096442026
31,62,3.064282382798055
31,57,4.174842985120049
31,5,3.004715779013975
33,18,2.075598420899459
34,25,4.630332187353289
35,32,3.397696909339629
36,25,4.332897634389421
37,62,1.857022474119845
38,62,3.5839355462082656
39,8,2.014619462499036
39,18,1.0971369192137574
40,57,2.8464220343675497
41,5,2.5225235499993244
42,14,3.250047247834887
42,5,4.460774457028315
43,8,3.6407305166659407
44,5,1.165070317634982
45,25,4.554304172344452
46,18,1.2522441739011811
47,32,3.4543110700578348
48,5,2.5262567476910327
49,32,2.93865143250068
49,62,1.4071547352416607
50,5,1.1017031591749504
51,14,1.4723596320918528
52,5,4.541708404774261
53,18,1.6902473625094245
54,14,4.29854243050588
54,25,2.7524682831803178
55,147,1.163246478481602
55,25,3.98800295009348
55,14,1.2522900879905656
56,8,2.1594676472175083
58,57,3.322417623604414
59,57,1.3196713377246616
60,62,1.5887951003020235
61,18,2.047462553762701
61,5,2.737216506870893
63,62,1.872277080211918
64,62,4.393490048653313
64,18,3.533971274952659
65,18,3.534041896198292
66,57,4.816561675688699
67,62,3.1158881556284967
68,62,2.8061458519096263
69,18,3.9227464508286776
70,25,2.3561858060790444
71,14,2.7265603643788956
72,62,3.127996978601769
73,147,1.7449092296257849
74,18,4.429754065444957
75,62,1.2285802146477982
76,14,4.872817874888228
77,147,3.485760387088523
78,14,4.665028321606826
79,18,2.907981291674438
80,14,1.7188828554281228
81,14,1.1722008003745277
82,62,4.666275406559963
83,5,3.0235172443833607
84,18,2.0549856951590266
85,8,1.6713998520310573
86,18,2.7541579608804074
87,18,1.6636514894042684
88,8,1.1293078814891988
88,147,4.018529396222353
88,14,4.6792698574436615
89,5,1.2904762237261012
90,57,1.764736056017521
91,8,4.7104835543711445
92,57,2.675648894309134
93,5,4.362073528974722
94,18,2.5786675225617657
95,18,4.763656472778256
96,5,4.578636046658051
97,14,3.215100304731668
98,57,4.092227542065707
99,25,2.8907655332139885
99,14,3.7576031336767244
100,147,4.951121114125625
101,57,4.980687666395975
102,147,1.5641527380276954
102,5,3.832906645694509
102,14,3.5036357131438995
103,14,3.79934779763067
104,62,4.732914598412685
104,8,3.332556649567368
105,5,3.164236166104094
106,32,2.2053751886111463
107,5,4.358639681354784
108,8,4.949734387341197
109,32,4.177906275791068
109,147,4.684930563752795
110,14,4.036327540129532
111,32,1.6329387283130972
112,25,1.8248792110865268
113,14,2.753949905055924
113,57,1.4781692249580853
113,62,1.6661848785359576
114,147,3.063886040186432
114,8,3.0148579684367673
114,32,1.0492998949834982
115,14,1.6652475099126862
116,14,1.5740108190899118
117,8,1.5626669806491154
117,18,2.2796456712302304
117,25,3.7049525551857094
118,62,2.2465228227496907
119,8,3.845616958616345
119,5,1.645374052479692
119,62,3.1955201523676307
120,32,1.160993814400741
121,5,3.1486100683108296
122,147,3.271932450801219
123,14,3.234626087331354
124,57,1.7332708868019058
125,147,4.432927773347744
125,5,1.5905034687121355
125,25,4.504671660988728
126,5,1.3417347170373528
126,8,2.719422566120013
127,8,4.334626211920604
127,32,2.9163485659516755
127,18,1.96453155163226
127,62,3.4053564413437503
127,57,3.829857536308488
128,14,1.7019544513498235
129,32,4.540912817051377
130,32,2.8540518389222527
131,5,4.940229015707
132,57,2.289182252539798
133,25,4.670327546847734
134,62,1.9610437064203707
135,18,3.360229435149762
135,147,1.4298099038831191
136,57,3.3488893915462636
137,32,3.870580858951243
138,32,1.094161563571515
139,5,3.634153546262252
140,25,1.6182014025400506
141,147,2.8279296340590427
142,5,3.6446998803122037
143,147,3.998201217945173
144,18,4.363135762311305
145,8,1.9182292962257599
146,18,3.048579527007913
148,32,3.6917912520820098
148,18,3.3522523271641633
148,5,2.1253342533096173
149,14,3.813892216470691
150,5,2.759435338645679
150,62,2.4121800369949575
