regulated.gene,regulator.gene,regulator.effect
1,45,4.013932588884309
2,197,4.557833534963832
4,197,4.887848192440297
5,197,1.091645129314406
6,45,2.179053877281985
7,163,1.9185194142361923
8,45,1.241643170994938
9,45,4.863798000486777
10,45,1.5626801539973558
11,89,2.022213783110997
12,197,4.115138346242475
13,102,1.4134246541541584
14,89,3.5148238178898383
15,102,1.8954454553069273
16,163,4.325834728031038
17,163,3.310733175494182
17,197,3.860693783415784
17,102,1.3900253327480234
18,89,1.9414506278980848
19,102,4.538534409550814
19,45,2.67550683263665
20,45,1.8662613730352713
21,89,3.3884441115553
22,102,3.828167001007036
23,197,2.3606032835443957
24,197,2.6238281130391004
25,197,3.6786842731063283
26,197,3.5615604027573333
27,89,3.141068510198277
28,45,1.320056678763216
29,89,3.8827765242312733
30,197,2.928427541360307
31,163,4.576493822461994
32,3,1.1996916210042967
33,45,2.984046738268219
34,45,4.373945005800741
35,89,1.33116836010969
36,3,3.3887938681124403
37,163,2.8992739140548487
38,3,1.8303193199368832
39,89,2.713459534888354
39,45,1.409644945462437
40,3,2.12231757556842
41,102,2.5704336268246912
42,197,1.5144724191079049
42,3,1.1059367334112606
43,163,4.344979440227346
44,89,3.5441403675767527
44,45,2.1558274518213847
44,197,3.3757444653821587
44,102,4.729646787887147
44,3,3.0586649793989418
46,197,2.263421328950476
47,163,3.535648800650957
48,89,1.6445239075878197
49,45,3.186593349534541
50,3,1.0240675074963803
51,89,3.6453415669304023
52,89,1.4374274319815754
53,102,1.6142957384904366
54,197,3.89245551675927
54,89,2.41239841507008
54,45,3.7469582573530262
55,197,3.7396648728188007
56,89,1.1619805965882577
57,102,4.9004644648081905
58,3,4.8318008704603335
59,163,4.150467082129264
59,197,4.016916729356118
59,89,1.4348162733709704
59,3,3.4612193404229847
60,102,4.705380797913103
61,3,4.9320870021019445
61,102,1.1175572468788926
61,89,1.1272049780060625
62,45,4.121354528149264
63,89,3.252929533809394
64,89,3.836476673058626
65,197,4.920028292726681
66,197,4.6929688330589485
67,89,2.3807337625543643
68,3,4.031989942141131
69,102,3.9742136845932077
70,45,4.542031822792461
70,102,1.8510066907130311
71,163,4.433871245674594
72,45,3.4199111351140443
73,197,3.0758323143582906
74,102,4.413122255559877
75,45,1.3921357753851347
76,45,4.867711664051052
77,197,1.5376009932551202
78,3,1.837924455509
79,197,4.491409754410216
80,163,2.0158070548948013
81,3,2.59374012150586
82,3,4.126143640249958
83,163,2.5303084622554044
84,197,2.0942922202234637
85,102,4.669554827368547
86,3,1.8765751023341266
87,163,1.28188979586994
88,197,2.234569045295834
90,197,3.232816734760579
91,89,1.6586396305467512
92,3,3.9423143226984525
93,89,1.9311345395599981
94,163,3.093952361921467
95,45,3.1835518241565683
96,197,1.6001781783714821
97,89,1.9842912199237435
98,102,1.9977205147683004
99,197,1.546725396980142
100,89,1.8629739850713571
100,102,3.607625629378721
101,3,3.725128509783966
101,45,1.5143871355548235
103,197,1.6436494583454766
104,89,1.7710816659582003
105,163,4.198284529382314
106,197,4.190967164417184
106,163,4.463033677033544
106,102,3.1482588627424413
107,102,2.6334489511406813
108,89,3.3594151307770694
109,197,4.35051576803326
110,102,4.157850211739639
111,197,4.536280818735729
112,89,4.297421700097614
112,197,1.7271645016503245
113,102,3.1676414723777295
113,163,3.271303251476401
113,45,4.033537926955792
113,197,1.366345462672719
114,89,1.440943273865308
115,45,4.563772433259143
116,45,1.8467749258284123
117,102,1.8841283883231834
118,197,2.32883712580552
119,163,1.771214741523383
120,3,4.9101920277069135
121,197,1.9246601255948503
122,102,2.952208232327629
122,89,3.136289469691542
122,163,3.622874515550672
122,45,4.746298571882452
123,3,1.2263871514400182
124,45,3.1523865678420933
125,102,4.07901401967574
126,102,2.142655645001004
127,3,4.640414774422182
128,45,3.0227339298886315
129,89,4.555532974124649
130,45,4.511312173558176
130,197,3.565267514802966
130,89,1.3911366408586119
131,102,2.145463062424465
132,45,1.294278040736469
132,89,3.2419996965812974
132,102,3.5283315271196605
132,197,2.8315297321761688
133,102,4.7772794188406795
134,89,2.735199976971499
134,102,4.983121051874935
134,45,4.5019069671776295
135,102,1.621488534687667
136,45,3.3361783173697654
137,102,2.4691015272737915
138,45,1.7074959081679792
139,45,4.360662342516662
140,163,4.2608835249120265
141,89,2.7981006606435734
142,102,1.3017532883454503
143,45,4.9543755000491725
144,197,2.5066812586672556
145,89,1.956775575875525
146,89,4.074723135032294
147,197,2.974699460289777
147,3,4.8108110773535735
147,102,1.8985841241262422
147,163,2.0684671724853185
148,197,2.5630440898920916
149,3,1.564247383967877
150,197,4.725021409553382
151,3,4.885534516058565
152,3,1.2471600478652114
153,102,3.944605076820796
154,102,3.88974744195644
155,163,4.097322565467786
156,163,2.369468372933839
157,45,1.9623682921382049
158,197,1.9235708603605097
159,89,1.7341878315484944
160,102,1.997807539713631
161,3,4.492485423163675
162,3,3.3536368606045155
164,102,4.637953454629439
165,3,2.478499330205361
166,45,3.312561274635428
167,197,3.9002510083840827
167,3,4.437848906957102
168,197,4.802927394261425
169,163,2.4642488603284693
170,163,2.749469255398586
171,197,3.423179582645024
171,45,3.687495848139255
171,89,4.750443684941992
171,102,3.772708733817529
171,3,4.327026308047282
171,163,2.663548649501789
172,197,4.535029299052572
173,89,3.6130646573331386
174,45,3.556184167009401
175,45,1.884997249052089
175,3,1.4380134671906437
176,45,2.1077342149343457
177,163,1.3949857617033459
177,45,1.5695219512916414
177,197,1.014675360943079
177,3,2.1770157715320493
178,3,1.3850127291342837
178,163,3.896621368485233
179,89,1.0312104834727227
180,45,4.402918413305031
181,163,4.190063179968713
182,89,4.097801077751443
183,3,1.9301259942120055
184,102,2.288990078402011
185,163,2.2997473250087803
186,89,4.835542393284469
186,163,2.8670948880678404
187,3,1.6401483624616144
188,45,3.4785888364839703
189,163,1.4806662986951098
190,163,1.4346842518392258
191,45,1.942526986208787
192,163,3.9771294451348504
193,102,1.322138982699427
194,197,2.6300933570831884
195,89,4.447546605332689
196,3,3.8435772711064207
198,45,2.473404540929457
198,3,3.4235830817356616
199,102,1.8911140668750286
200,163,4.8065027329154555
